Item;Username;Comments;Favorites;Date;Tweet;Author Followers
109;OrlandoFalconT1;2;10;6/10/2023 14:33;@larepublica_pe @jesicaleon Qué pasa sin un ser de luz con uniforme, que en la mayoría de casos son unos delincuentes con placa, esconden el dni, así como hacen cuando te quitan los documentos del auto, primero purgar la policía y luego vemos leyes que les den más autoridad..;7
110;OscarFloresfl74;;;6/10/2023 19:55;"@larepublica_pe @jesicaleon Estamos recontra caga..., Estamos a merced de esa tira de lacras, no vengan con esa vaina de ""el que nada debe, nada teme"", qué estaremos pagando!!";1
111;Pablo01193063;;4;6/10/2023 17:04;@larepublica_pe @jesicaleon Me parece excelente mientras no se cometan excesos. Por otro lado, ya saben, sean responsables y lleven consigo su documento de identidad.;3
112;@PaitaOnLine;;;6 oct.;@larepublica_pe @jesicaleon Los que tienen RQ estarán ajustando xd;
113;pajaroazulperu;;1;6/10/2023 12:54;@larepublica_pe @jesicaleon Me parece bien.;2828
114;renzo_uni;;;6/10/2023 13:37;@larepublica_pe @jesicaleon Cada vez más cerca de un estado totalitario al estilo nazi;37
115;PattyAcurio;;;6/10/2023 14:58;@larepublica_pe @jesicaleon Nadie se dió cuenta Xque es este declaró de emergencia por las marchas;30
116;@PattyAcurio;;;6 oct.;@larepublica_pe @jesicaleon No, que va este gobierno no es represivo, te quitan derechos, después no se quejen. Fachos hijos de p*ta.;
117;percobless;;;6/10/2023 14:09;@larepublica_pe @jesicaleon Justo se me pierde la billetera ayer :(;1
118;el_indigente3;;1;6/10/2023 14:08;@larepublica_pe @jesicaleon Habrá coimas a diestra y siniestra;65
119;Cesar_Marin_M;;;7/10/2023 01:50;@larepublica_pe @jesicaleon Muy bien;8
120;renayleoj1995;;;7/10/2023 01:12;@larepublica_pe @jesicaleon La dictadura en su máximo esplendor ahora aprovechan los sembradores para hacer de las suyas;1
121;Rick_oso24;;1;6/10/2023 17:13;@larepublica_pe @jesicaleon Bueno, se avecinan épocas de desapariciones;1
122;@robertoomb;;;6 oct.;@larepublica_pe @jesicaleon Con esto se va confirmando que estamos en una DICTADURA.;
123;Rommyloch;;;8/10/2023 03:37;@larepublica_pe @jesicaleon Es solo tener el DNI, esa ley es desde hace uff y solo si te ven sospechoso lo que cambia son las 12 horas para extranjeros;44
124;rosarucoba;;;6/10/2023 16:12;@larepublica_pe @jesicaleon Ahora a cargar el DNI en la cartera sin llorar ????.;246
125;cordova_rusbel;;;7/10/2023 13:15;@larepublica_pe @jesicaleon Darle más poder a unos buenos para nada;21
126;@SalchiAvalos;;;6 oct.;@larepublica_pe @jesicaleon Asi fue antes ya era hora q vuelvan hacer eso;
127;SalchiAvalos;;;6/10/2023 15:28;@larepublica_pe @jesicaleon es una arbitrariedad y es una norma incostitucional;182
128;ventiisick;;;6/10/2023 16:12;@larepublica_pe @jesicaleon huevadas nomas hacen;33
129;PolloFarsentePe;;;6/10/2023 12:30;@larepublica_pe @jesicaleon Olvidense q en este ano y con el gobierno de una golpista Peru cerebrara lso Navidades!! Navidades y Ano Nuevo ya se cancelo! Queda te en casa sin agua sin luz, sin trabajo, sin comida!!!;31
130;valdivia345tom;;;8/10/2023 00:40;"@larepublica_pe @jesicaleon alguien que nos salve de los delincuentes alias ""honor y gloria"",ahora estaran empoderados y seguiran humillando y denigrando a los peruanos. A futuro los oficiales de la policia y FFAA deben pasar por las armas con su ceremonia de deshonra como debe ser";1
131;THomofobico;;;6/10/2023 19:11;@larepublica_pe @jesicaleon Y si detienen llendo al trabajo?;29
132;vituchomanuel07;;1;6/10/2023 14:33;@larepublica_pe @jesicaleon Eso se hace desde antes, lleva tu dni y evita problemas, recuerda el Estado de emergencia.;181
133;JudithSuly;;;7/10/2023 17:06;@larepublica_pe @jesicaleon Pobres angelitos, qué dirán ahora?;3
134;@vivalibertadpe;;;7 oct.;@larepublica_pe @jesicaleon Muy bien ??????y que se larguen los cojudos de los DDHH;
135;Junior_0311;1;20;6/10/2023 13:54;@larepublica_pe @jesicaleon Ptm o sea a quien les de la gana;2510
136;yaclyn;;5;6/10/2023 14:48;@larepublica_pe @jesicaleon A mi más sospechas me da la policía ??;115
137;@yaclyn;;;6 oct.;@larepublica_pe @jesicaleon Totalmente de acuerdo. Esta norma permitirá actuar con más determinación a la PNP contra personas con sospechas. Bien ahí. ¿Porqué las ONGs de DDHH ponen el grito en el cielo? ??;
138;YorshCarlin;1;8;6/10/2023 14:27;@larepublica_pe @jesicaleon Una puerta abierta al abuso policial.Incluso teniendo DNI pero llevando carga te podrían extorsionar para darles propina a cambio de evitarte demoras y revisión de tus cosas (sin ningún indicio real de delito flagrante). Pero Lima quiere esto,apoyó y en su indiferencia lo valida;106
139;ZAlmasy;;;6/10/2023 18:46;@larepublica_pe @jesicaleon es peligroso darles un poder q no sabrán a usar a imbeciles abusivos.;103
140;lexanderhelbert;;1;7/10/2023 02:45;@larepublica_pe @jesicaleon Basta que den su nombre y apellidos, el número de DNI, fácilmente la PNP puede verificar y comprobar (en sistema) el rostro y si está requisitoriado, porque hay personas que pueden olvidarse en llevar en físico sus DNIs. Para que tanto problema, estamos regresando al pasado. ??;5340
